
number of trainable parameters: 3.27M
Epoch [1/1], eval_loss: 10.8248
Epoch [1/1], Step [21000/473591], Loss: 5.4780
Epoch [1/1], Step [21100/473591], Loss: 5.4724
Epoch [1/1], Step [21200/473591], Loss: 5.4672
Epoch [1/1], Step [21300/473591], Loss: 5.4617
Epoch [1/1], Step [21400/473591], Loss: 5.4567
Epoch [1/1], Step [21500/473591], Loss: 5.4513
Epoch [1/1], Step [21600/473591], Loss: 5.4463
Epoch [1/1], Step [21700/473591], Loss: 5.4410
Epoch [1/1], Step [21800/473591], Loss: 5.4357
Epoch [1/1], Step [21900/473591], Loss: 5.4306
Epoch [1/1], Step [22000/473591], Loss: 5.4260
Epoch [1/1], Step [22100/473591], Loss: 5.4206
Epoch [1/1], Step [22200/473591], Loss: 5.4157
Epoch [1/1], Step [22300/473591], Loss: 5.4106
Epoch [1/1], Step [22400/473591], Loss: 5.4058
Epoch [1/1], Step [22500/473591], Loss: 5.4011
Epoch [1/1], Step [22600/473591], Loss: 5.3968
Epoch [1/1], Step [22700/473591], Loss: 5.3919
Epoch [1/1], Step [22800/473591], Loss: 5.3869
Epoch [1/1], Step [22900/473591], Loss: 5.3824
Epoch [1/1], Step [23000/473591], Loss: 5.3782
Epoch [1/1], Step [23100/473591], Loss: 5.3732
Epoch [1/1], Step [23200/473591], Loss: 5.3684
Epoch [1/1], Step [23300/473591], Loss: 5.3637
Epoch [1/1], Step [23400/473591], Loss: 5.3593
Epoch [1/1], Step [23500/473591], Loss: 5.3547
Epoch [1/1], Step [23600/473591], Loss: 5.3502
Epoch [1/1], Step [23700/473591], Loss: 5.3459
Epoch [1/1], Step [23800/473591], Loss: 5.3415
Epoch [1/1], Step [23900/473591], Loss: 5.3369
Epoch [1/1], Step [24000/473591], Loss: 5.3324
Epoch [1/1], Step [24100/473591], Loss: 5.3278
Epoch [1/1], Step [24200/473591], Loss: 5.3229
Epoch [1/1], Step [24300/473591], Loss: 5.3185
Epoch [1/1], Step [24400/473591], Loss: 5.3141
Epoch [1/1], Step [24500/473591], Loss: 5.3097
Epoch [1/1], Step [24600/473591], Loss: 5.3055
Epoch [1/1], Step [24700/473591], Loss: 5.3012
Epoch [1/1], Step [24800/473591], Loss: 5.2966
Epoch [1/1], Step [24900/473591], Loss: 5.2927
Epoch [1/1], Step [25000/473591], Loss: 5.2888
Epoch [1/1], Step [25100/473591], Loss: 5.2844
Epoch [1/1], Step [25200/473591], Loss: 5.2804
Epoch [1/1], Step [25300/473591], Loss: 5.2760
Epoch [1/1], Step [25400/473591], Loss: 5.2722
Epoch [1/1], Step [25500/473591], Loss: 5.2679
Epoch [1/1], Step [25600/473591], Loss: 5.2639
Epoch [1/1], Step [25700/473591], Loss: 5.2601
Epoch [1/1], Step [25800/473591], Loss: 5.2559
Epoch [1/1], Step [25900/473591], Loss: 5.2519
Epoch [1/1], Step [26000/473591], Loss: 5.2479
Epoch [1/1], Step [26100/473591], Loss: 5.2439
Epoch [1/1], Step [26200/473591], Loss: 5.2401
Epoch [1/1], Step [26300/473591], Loss: 5.2364
Epoch [1/1], Step [26400/473591], Loss: 5.2326
Epoch [1/1], Step [26500/473591], Loss: 5.2288
Epoch [1/1], Step [26600/473591], Loss: 5.2248
Epoch [1/1], Step [26700/473591], Loss: 5.2212
Epoch [1/1], Step [26800/473591], Loss: 5.2173
Epoch [1/1], Step [26900/473591], Loss: 5.2135
Epoch [1/1], Step [27000/473591], Loss: 5.2100
Epoch [1/1], Step [27100/473591], Loss: 5.2064
Epoch [1/1], Step [27200/473591], Loss: 5.2028
Epoch [1/1], Step [27300/473591], Loss: 5.1992
Epoch [1/1], Step [27400/473591], Loss: 5.1953
Epoch [1/1], Step [27500/473591], Loss: 5.1919
Epoch [1/1], Step [27600/473591], Loss: 5.1884
Epoch [1/1], Step [27700/473591], Loss: 5.1852
Epoch [1/1], Step [27800/473591], Loss: 5.1815
Epoch [1/1], Step [27900/473591], Loss: 5.1777
Epoch [1/1], Step [28000/473591], Loss: 5.1739
Epoch [1/1], Step [28100/473591], Loss: 5.1703
Epoch [1/1], Step [28200/473591], Loss: 5.1669
Epoch [1/1], Step [28300/473591], Loss: 5.1637
Epoch [1/1], Step [28400/473591], Loss: 5.1603
Epoch [1/1], Step [28500/473591], Loss: 5.1568
Epoch [1/1], Step [28600/473591], Loss: 5.1533
Epoch [1/1], Step [28700/473591], Loss: 5.1499
Epoch [1/1], Step [28800/473591], Loss: 5.1466
Epoch [1/1], Step [28900/473591], Loss: 5.1434
Epoch [1/1], Step [29000/473591], Loss: 5.1400
Epoch [1/1], Step [29100/473591], Loss: 5.1364
Epoch [1/1], Step [29200/473591], Loss: 5.1333
